,gvkey_x,splticrm,datadate,tic_x,gvkey_y,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic_y,cusip,curcdq,datacqtr,datafqtr,acoq,actq,apq,chq,citotalq,cogsq,dlttq,intanq,niq,cik,costat,Rate
23,1690,AA+,20151231,AAPL,1690,2016,1,INDL,C,D,STD,AAPL,37833100,USD,2015Q4,2016Q1,11073,76219,33312,16689,15000,42495,53204.0,9126.0,15000,320193,A,1
13,1690,AA+,20130630,AAPL,1690,2013,3,INDL,C,D,STD,AAPL,37833100,USD,2013Q2,2013Q3,10463,68219,15516,11248,5702,20605,16958.0,5875.0,6900,320193,A,1
6,1690,BBB+,20110930,AAPL,1690,2011,4,INDL,C,D,STD,AAPL,37833100,USD,2011Q3,2011Q4,6543,44988,14632,9815,6677,16347,35700.91176470588,4432.0,6623,320193,A,7
20,1690,AA+,20150331,AAPL,1690,2015,2,INDL,C,D,STD,AAPL,37833100,USD,2015Q1,2015Q2,14235,67891,23159,14489,14316,31875,40072.0,8772.0,13569,320193,A,1
5,1690,BBB+,20110630,AAPL,1690,2011,3,INDL,C,D,STD,AAPL,37833100,USD,2011Q2,2011Q3,6143,46898,15270,12091,7571,16168,35700.91176470588,1910.0,7308,320193,A,7
16,1690,AA+,20140331,AAPL,1690,2014,2,INDL,C,D,STD,AAPL,37833100,USD,2014Q1,2014Q2,11542,70541,18914,18949,10278,25812,16962.0,5983.0,10223,320193,A,1
18,1690,AA+,20140930,AAPL,1690,2014,4,INDL,C,D,STD,AAPL,37833100,USD,2014Q3,2014Q4,14124,68531,30196,13844,9463,24145,28987.0,8758.0,8467,320193,A,1
13,1690,AA+,20130630,AAPL,1690,2013,3,INDL,C,D,STD,AAPL,37833100,USD,2013Q2,2013Q3,10463,68219,15516,11248,5702,20605,16958.0,5875.0,6900,320193,A,1
20,1690,AA+,20150331,AAPL,1690,2015,2,INDL,C,D,STD,AAPL,37833100,USD,2015Q1,2015Q2,14235,67891,23159,14489,14316,31875,40072.0,8772.0,13569,320193,A,1
23,1690,AA+,20151231,AAPL,1690,2016,1,INDL,C,D,STD,AAPL,37833100,USD,2015Q4,2016Q1,11073,76219,33312,16689,15000,42495,53204.0,9126.0,15000,320193,A,1
26,1690,AA+,20160930,AAPL,1690,2016,4,INDL,C,D,STD,AAPL,37833100,USD,2016Q3,2016Q4,8283,106869,37294,20484,9755,26491,75427.0,8620.0,9014,320193,A,1
22,1690,AA+,20150930,AAPL,1690,2015,4,INDL,C,D,STD,AAPL,37833100,USD,2015Q3,2015Q4,15085,89378,35490,21120,9681,27834,53463.0,9009.0,11124,320193,A,1
2,1690,BB ,20100930,AAPL,1690,2010,4,INDL,C,D,STD,AAPL,37833100,USD,2010Q3,2010Q4,5083,41678,12015,11261,4154,12502,35700.91176470588,1083.0,4308,320193,A,11
18,1690,AA+,20140930,AAPL,1690,2014,4,INDL,C,D,STD,AAPL,37833100,USD,2014Q3,2014Q4,14124,68531,30196,13844,9463,24145,28987.0,8758.0,8467,320193,A,1
11,1690,AAA,20121231,AAPL,1690,2013,1,INDL,C,D,STD,AAPL,37833100,USD,2012Q4,2013Q1,9539,72348,26398,16154,13191,31864,35700.91176470588,5843.0,13078,320193,A,0
18,1690,AA+,20140930,AAPL,1690,2014,4,INDL,C,D,STD,AAPL,37833100,USD,2014Q3,2014Q4,14124,68531,30196,13844,9463,24145,28987.0,8758.0,8467,320193,A,1
